en,zh,BLEU,BERTSCORE_F1,BERTSCORE_P,BERTSCORE_R,EN_LEN
"Architects and engineers, thankfully.",建筑师和工程师，谢天谢地。,0.0,0.3666929006576538,0.32136404514312744,0.4269089996814728,6
Thirty-nine inches is the tallest structure I've seen.,我见过的最高的塔是39英寸,2.9859662827819125,0.536388099193573,0.5662983059883118,0.5094789266586304,12
And why is it? Because they understand triangles  and self-reinforcing geometrical patterns  are the key to building  stable structures.,为什么呢？因为他们懂得三角形 和自我巩固的几何模式 是建筑 稳定结构的关键,0.0,0.4280601441860199,0.3845888376235962,0.4826112687587738,26
"So CEOs, a little bit better than average,  but here's where it gets interesting.",总裁们比平均水平稍好一些 但是有趣的是,0.0,0.39856866002082825,0.3437976837158203,0.47409796714782715,19
"If you put you put an executive admin. on the team,  they get significantly better.",如果你在他们的小组里加一个行政助理 他们的成绩马上变得好很多,0.0,0.41050076484680176,0.34974750876426697,0.4967975318431854,19
"It's incredible. You know, you look around, you go, ""Oh, that team's going to win.""",这真是令人难以置信， 你四处看看， 你说：“那个小组会赢。”,0.17452139868023847,0.45923635363578796,0.4085196554660797,0.5243306756019592,25
You can just tell beforehand. And why is that?,你很早就知道， 为什么呢？,0.0,0.39529621601104736,0.3405379354953766,0.4710389971733093,11
Because they have special skills  of facilitation.,因为他们有特殊的 简化技巧,0.0,0.39629819989204407,0.32252833247184753,0.5138211846351624,9
"They manage the process, they understand the process.",他们管理流程， 他们懂得流程,0.12340526446895762,0.454286128282547,0.3680168688297272,0.5933854579925537,10
And any team who manages  and pays close attention to work  will significantly improve the team's performance.,总之，任何一个小组积极管理并 专注于工作本身的话 小组的表现就有显著的提高,0.0,0.5013468861579895,0.5503520965576172,0.46035531163215637,21
Specialized skills and facilitation skills  are the combination that leads to strong success.,特殊技能以及善于使用简便的手法 两者的结合带来了成功,0.0,0.40078410506248474,0.34437164664268494,0.4792994260787964,15
"If you have 10 teams that typically perform,  you'll get maybe six or so that have standing structures.",如果你有10个队参加这个活动 其中大概有6个队可以搭建可以直立的结构,0.0,0.41485902667045593,0.3686886727809906,0.474248468875885,22
And I tried something interesting.,我做了一个有趣的尝试,4.673289785800722,0.67214435338974,0.7064443826675415,0.6410208940505981,6
"I thought, let's up the ante, once.",我想， 我们不妨来赌一次,0.0,0.3785087466239929,0.3329280912876129,0.43854987621307373,11
"So I offered a 10,000 dollar prize of software to the winning team.",所以我就提供了价值10万美元的软件给得胜的小组,0.0,0.47735875844955444,0.5143852233886719,0.4453047811985016,14
So what do you think happened to these design students?,你猜猜那些学设计的学生们会有什么样的反应？,0.0,0.37090542912483215,0.31163668632507324,0.45801275968551636,11
What was the result?,结果如何？,0.0,0.38604995608329773,0.3104592561721802,0.5102972388267517,5
Here's what happened:  Not one team had a standing structure.,这就是结果 没有一个小组完成了一个站立的建筑,0.0,0.38398587703704834,0.33533579111099243,0.4491477310657501,14
"If anyone had built, say, a one inch structure,  they would have taken home the prize.",哪怕任何一个小组完成一个一英寸的建筑 他们就可以把奖杯捧回去,0.0,0.42460182309150696,0.39822375774383545,0.4547223448753357,21
"So, isn't that interesting? That high stakes  have a strong impact.",所以，很有意思的是 高额奖金会有很大的影响。,0.0,0.39314863085746765,0.3488922715187073,0.45026373863220215,16
We did the exercise again with the same students.,之后我们在同样的学生中又重复了这个活动,0.0,0.5168209075927734,0.5496612787246704,0.48768350481987,10
What do you think happened then?,你猜猜结果怎样？,0.0,0.3909355401992798,0.32058560848236084,0.5008410811424255,7
So now they understand the value of prototyping.,这回他们知道了做样版模型的价值,0.0,0.43559256196022034,0.35990965366363525,0.5515806674957275,9
So the same team went from being the very worst  to being among the very best.,所以最差的那个小组 成为了最好的小组,0.0,0.42847806215286255,0.354657381772995,0.5411075949668884,18
They produced the tallest structures in the least amount of time.,他们用最少的时间完成了最高的建筑,0.0,0.5275339484214783,0.5492379069328308,0.5074802041053772,12
So there's deep lessons for us  about the nature of incentives and success.,这些对我们都有很深的教育意义 揭示了奖励和成功的本质,0.12340526446895762,0.41431522369384766,0.34970930218696594,0.5082013010978699,16
"So, you might ask: Why would anyone  actually spend time writing a marshmallow challenge?",所以，你也许会问：怎么会有人 花时间写这么一个棉花糖的挑战,0.0,0.38034629821777344,0.33622899651527405,0.4377896189689636,18
"And the reason is, I help create  digital tools and processes  to help teams build cars and video games  and visual effects.",原因是我可以用 电子工具和流程 来帮助人们造汽车，电子游戏 和模拟视觉效果,0.0,0.416001558303833,0.3835665285587311,0.45442885160446167,27
And what the marshmallow challenge does  is it helps them identify the hidden assumptions.,而棉花糖的挑战教会我们 识别隐藏着的一些假设,0.0,0.5092648863792419,0.5544009804725647,0.470924973487854,16
"Because, frankly,  every project has its own marshmallow, doesn't it?",因为， 坦白说 每个项目都有它们自己的棉花糖,0.0,0.40300095081329346,0.3482300639152527,0.47821658849716187,16
"The challenge provides a shared experience,  a common language,  a common stance to build the right prototype.",这个挑战提供了可以分享的经验 一种共同的语言 处理问题的通用方法,0.24767502738761307,0.41701677441596985,0.3494834899902344,0.5169014930725098,22
of this so simple exercise.,就是这个简单的练习,0.0,0.5357668995857239,0.5306726694107056,0.5409599542617798,6
And those of you who are interested  may want to go to MarshmallowChallenge.com.,可以给我们提供的有价值的经验 你们如果有兴趣 可以去marshmallowchallenge.com网站,0.004739153159129942,0.4996293783187866,0.5583260655403137,0.4521001875400543,15
It's a blog that you can look at  how to build the marshmallows.,这是一个你可以阅读的博客 告诉你怎样搭建棉花糖建筑,0.0,0.42101943492889404,0.4506377577781677,0.3950543999671936,16
There's step-by-step instructions on this.,那里有具体的步骤说明,0.0,0.5194085240364075,0.5072629451751709,0.5321500301361084,11
There are crazy examples from around the world  of how people tweak and adjust the system.,还有来自世界各地的稀奇古怪的例子 人们怎样调整系统,0.0,0.39673563838005066,0.32819312810897827,0.5014657974243164,18
There's world records that are on this as well.,那里有世界记录,0.12340526446895762,0.3984434902667999,0.30708208680152893,0.5671911835670471,11
"And the fundamental lesson, I believe,  is that design truly is  a contact sport.",而我相信， 最根本的教意是： 设计其实是 一种交流运动,0.48056643515757996,0.5326323509216309,0.5747169256210327,0.4962906241416931,19
"It demands that we bring all of our senses to the task,  and that we apply the very best of our thinking,  our feeling and our doing  to the challenge that we have at hand.",它要求我们把我们所有的神志都放到任务中 要求我们运用最佳的思维状态 我们的感知我们的行动 来迎接我们面对的挑战,0.0,0.42717865109443665,0.41570359468460083,0.43930521607398987,41
"And sometimes, a little prototype of this experience  is all that it takes to turn us  from an ""uh-oh"" moment to a ""ta-da"" moment.",而有的时候， 一个小小的样板模型的经验 会帮助我们 将“糟了” 的那一刻变成了“”哈哈”的一刻,0.0,0.47302353382110596,0.4735616445541382,0.472486674785614,36
And that can make a big difference.,那造成的结果是大不同的,0.0,0.49922093749046326,0.5306868553161621,0.4712775647640228,8
Thank you very much.,谢谢你们,10.682175159905848,0.7318466305732727,0.7131927609443665,0.7515026330947876,5
Let's pretend right here we have a machine.,让我们设想这里有一台机器，,3.6353588668522963,0.5983794331550598,0.6121304035186768,0.585232675075531,10
"A big machine, a cool, TED-ish machine,  and it's a time machine.",它是一个很大的，很酷的，很TED的机器， 它是一个时间机器。,0.0,0.4557279646396637,0.4140886962413788,0.5066776275634766,20
And everyone in this room has to get into it.,这里每个人都要走进这个时间机器。,0.0,0.3830821216106415,0.31787461042404175,0.4819466769695282,11
"And you can go backwards, you can go forwards;  you cannot stay where you are.",你可以选择返回过去或走到未来， 就是不能停在当下。,0.0,0.4066517651081085,0.36867573857307434,0.453349769115448,20
"And I wonder what you'd choose, because I've been asking my friends  this question a lot lately and they all want to go back.",我在想你们会怎么选，近来我问了我的朋友很多次这个问题， 他们的回答都是“回到过去”。,0.12427280164767711,0.4135858714580536,0.3765150010585785,0.4587538540363312,29
"I don't know. They want to go back before there were automobiles  or Twitter or ""American Idol.""",我不理解。他们说，要回到没有汽车、 没有twitter或《美国偶像》的年代。,0.12383751369380655,0.4273487329483032,0.36436301469802856,0.5166616439819336,23
I don't know.,我真的不理解。,9.042266054940777,0.7316415905952454,0.7532168030738831,0.71126788854599,5
"I'm convinced that there's some sort of pull  to nostalgia, to wishful thinking.",我敢肯定，这里必然是有一些怀旧的情愫 或者是痴心妄想。,0.27506092538797716,0.4270605444908142,0.35624343156814575,0.5330184698104858,18
And I understand that.,这我也能理解。,8.643019616048525,0.6868387460708618,0.7098691463470459,0.6652557849884033,5
"I'm not part of that crowd, I have to say.",但是我必须承认，我跟他们不是一伙的。,0.12471116048742699,0.4112575054168701,0.3546561598777771,0.4893563687801361,13
"I don't want to go back, and it's not because I'm adventurous.",我不想回到过去，不是因为我喜欢冒险，,0.0,0.3959225118160248,0.34687158465385437,0.46113067865371704,17
"It's because possibilities on this planet,  they don't go back, they go forward.",而是因为这个地球上的可能性， 不是走到过去可以获得的，你要走到未来。,0.12427280164767711,0.4220026433467865,0.36227133870124817,0.5053197145462036,19
"So I want to get in the machine, and I want to go forward.",也就是说，我想走进这个机器，走到未来。,1.4064939156282428,0.589519202709198,0.6295753717422485,0.5542552471160889,16
"This is the greatest time there's ever been on this planet  by any measure that you wish to choose:  health, wealth,  mobility, opportunity,  declining rates of disease ...",我们这个时代是最美好的时代， 不管你用何种方式来衡量，如： 健康、财富、 流动性、机遇、 患病率不断下降。,0.0,0.41520005464553833,0.39359772205352783,0.43931132555007935,38
There's never been a time like this.,从来没有过这么好的时代。,0.0,0.5643281936645508,0.6195024847984314,0.5181781649589539,9
"My great-grandparents died, all of them,  by the time they were 60.",我的曾祖父母 在60岁的时候就死去了。,0.0,0.3799762725830078,0.32537174224853516,0.4566044807434082,18
My grandparents pushed that number to 70.,我的祖父母70多岁就死了。,9.093264719262521,0.7239665985107422,0.7885271310806274,0.6691777110099792,8
My parents are closing in on 80.,我的父母过世时是80几岁。,13.445273575332964,0.6266940832138062,0.6017745733261108,0.6537666320800781,8
So there better be  a nine at the beginning of my death number.,我希望我死去的时候 是在一个9数字开头的时候。,0.6706844879852473,0.5963001251220703,0.6591041684150696,0.5444236397743225,15
"But it's not even about people like us,  because this is a bigger deal than that.",但这不仅仅是关乎我们这些人的事情， 因为事实比我们自身大得多。,0.17452139868023847,0.44006457924842834,0.3722487986087799,0.5380936861038208,20
A kid born in New Delhi today  can expect to live as long as the richest man in the world did 100 years ago.,今天在新德里出生的一个小孩 可以像100年前世界上最富的人,0.12340526446895762,0.3815579116344452,0.31173789501190186,0.49167948961257935,26
"Think about that, it's an incredible fact.",一样长寿命。 大家认真想想。这是个很了不起的事实啊。,0.1472684523889216,0.42724230885505676,0.3755572438240051,0.49542370438575745,10
And why is it true?,为什么会出现这样的事实呢？,0.0,0.5733749270439148,0.6028531193733215,0.5466451048851013,6
Smallpox. Smallpox killed billions  of people on this planet.,是因为我们消灭了天花。 天花曾夺去了地球上数以亿计的人的生命。,0.0,0.392586886882782,0.35217341780662537,0.443477988243103,12
It reshaped the demography of the globe  in a way that no war ever has.,它重塑了地球的人口布局， 这是任何战争也无法相比的。,0.1472684523889216,0.38183435797691345,0.33141034841537476,0.4503558576107025,17
It's gone. It's vanished.,但今天它已被彻底消灭了。,0.0,0.37917840480804443,0.3219800293445587,0.46108895540237427,8
We vanquished it. Puff.,是人类铲除了它。,0.0,0.5998014807701111,0.6090715527534485,0.5908093452453613,6
"In the rich world,  diseases that threatened millions of us just a generation ago  no longer exist, hardly.",在当今的富有社会里 仅仅一代人之前还给数百万人的生命带来威胁的疾病已经 几乎不再出现了。,0.04424994910000794,0.5252370238304138,0.573937177658081,0.48415517807006836,23
"Diphtheria, rubella, polio ...","白喉, 德国麻疹，小儿麻痹症都几乎不存在了。",0.15472981307086328,0.445010244846344,0.4186755120754242,0.47488027811050415,6
does anyone even know what those things are?,你们知道这些名字是什么意思吗？,0.0,0.39527809619903564,0.33725041151046753,0.4774242341518402,9
"Vaccines, modern medicine,  our ability to feed billions of people,  those are triumphs of the scientific method.",疫苗和现代医学 以及人类为数百万人提供食品的能力， 这些都是科学方法的胜利。,0.0,0.40911799669265747,0.3553597927093506,0.4820402264595032,23
"And to my mind, the scientific method --  trying stuff out,  seeing if it works, changing it when it doesn't --  is one of the great accomplishments of humanity.",在我看来，科学方法 就是不断的尝试， 检验，改变的过程。 它本身也是人类最伟大的功绩之一。,0.0,0.4308054745197296,0.4029490351676941,0.4627994894981384,37
So that's the good news.,所以这些都是好消息。,2.6682865255867765,0.5602691769599915,0.6076958179473877,0.5197093486785889,7
"Unfortunately, that's all the good news  because there are some other problems, and they've been mentioned many times.",但不幸的是，好消息就这么多， 因为我们还遇到了其他一些难题，也被提到过很多次。,0.12340526446895762,0.4090668559074402,0.37643933296203613,0.4478870630264282,24
"And one of them is that  despite all our accomplishments,  a billion people go to bed hungry  in this world every day.",其中一个就是， 虽然我们取得了巨大的进步， 但是现在世界上还有10亿人吃不饱肚子， 每天，他们都在忍受饥饿的折磨。,0.0,0.39345499873161316,0.3603787124156952,0.43321654200553894,27
"That number's rising, and it's rising really rapidly, and it's disgraceful.",这一数字还在上升，并且上升的速度很快。这是足以让我们丢脸的。,0.12340526446895762,0.42071443796157837,0.3606409728527069,0.5048012137413025,17
"And not only that, we've used our imagination  to thoroughly trash this globe.",不仅如此，人类的想象力 还给地球带来了巨大的垃圾。,0.0,0.5163089036941528,0.5583038330078125,0.4801896810531616,17
"Potable water, arable land,  rainforests, oil, gas:  they're going away, and they're going away soon,  and unless we innovate our way out of this mess,  we're going away too.",饮用水、可耕地、 热带雨林、石油、天然气， 这些资源都在消失，并且消失的速度也很快。 除非我们懂得去创新， 否则我们就没有任何希望了。,0.0,0.41998207569122314,0.41128864884376526,0.42905092239379883,45
So the question is: Can we do that? And I think we can.,问题是：我们做得到吗？我想我们可以做到。,0.0,0.4244200587272644,0.37615346908569336,0.4868968427181244,16
I think it's clear that we can make food  that will feed billions of people without raping the land that they live on.,我认为我们可以生产出足以养活数十亿人的粮食， 而不会损害他们赖以生存的土地。,0.0,0.4579645097255707,0.5329506993293762,0.4014767110347748,26
I think we can power this world with energy  that doesn't also destroy it.,我认为我们可以找到环境友好的能源 来供给世界能量。,0.0,0.5480043292045593,0.5913328528404236,0.510591983795166,17
"I really do believe that, and, no, it ain't wishful thinking.",我确实是深信这样的理论的，这绝对不是臆想。,0.0,0.4098868668079376,0.34412312507629395,0.5067246556282043,16
But here's the thing that keeps me up at night --  one of the things that keeps me up at night:  We've never needed progress in science more than we need it right now. Never.,但我总是遇到让我晚上睡不着觉的事情。 这是其中一个让我晚上睡不着的事情。 人类历史上从来没有象今天这样急需科技的进步,0.12340526446895762,0.42964231967926025,0.3760204613208771,0.5011011958122253,42
And we've also never been in a position  to deploy it properly in the way that we can today.,而历史上我们也从未有过像今天这样的时机， 我们可以按照我们的意愿去使用这些科技。,0.01189754121802822,0.5256710052490234,0.5673342943191528,0.48970839381217957,22
"We're on the verge of amazing, amazing events  in many fields,  and yet I actually think we'd have to go back  hundreds, 300 years, before the Enlightenment,  to find a time when we battled progress,  when we fought about these things  more vigorously, on more fronts, than we do now.",在许多领域，我们都站在了惊人发现的 时代。 事实上，我认为我们需要往回看， 回到300年前，回到文艺复兴之前的年代， 只有在那个年代，才有人要抵抗进步， 才会有人比我们今天更加 猛烈的去反抗科技的进步。,0.0,0.4115579128265381,0.4016428291797638,0.42197495698928833,67
"People wrap themselves in their beliefs,  and they do it so tightly that you can't set them free.",人们总是喜欢把自己放在自己的理念框架里， 他们把自己包得那么死，往往无法脱身。,0.0,0.3993432819843292,0.35600000619888306,0.45470380783081055,22
Not even the truth will set them free.,即使是听到了真理也不能使他们产生动摇。,0.14624396065071252,0.4083744287490845,0.3399941623210907,0.5111848711967468,9
"And, listen, everyone's entitled to their opinion;  they're even entitled to their opinion about progress.",听着，每个人都可以坚持他的观点， 他们甚至可以坚持他们关于进步的观点，,0.1629793336010672,0.4290878176689148,0.3657117784023285,0.5190337896347046,22
But you know what you're not entitled to?,但你知道你不能坚持什么吗？,0.0,0.5059594511985779,0.5455940961837769,0.47169333696365356,10
"You're not entitled to your own facts. Sorry, you're not.",你不能只坚持你自己所知道的事实。真的，你不能。,0.12340526446895762,0.42922502756118774,0.38004565238952637,0.4930242896080017,15
And this took me awhile to figure out.,我也是花了一段时间才领悟出来的,1.8110800993753928,0.6178335547447205,0.6585513949394226,0.5818576216697693,9
"About a decade ago, I wrote a story about vaccines  for The New Yorker. A little story.",大约十年前，我给《纽约客》写了一个故事 一个关于疫苗小故事。,0.12383751369380655,0.39533084630966187,0.33340954780578613,0.485498309135437,21
"And I was amazed to find opposition:  opposition to what is, after all,  the most effective public health measure in human history.",但我发现竟然有那么多人要反对我 他们反对的是 人类历史上最有效的公共卫生预防措施。,0.0,0.40205201506614685,0.3624388873577118,0.45138680934906006,28
"I didn't know what to do,  so I just did what I do: I wrote a story and I moved on.",我真的不知该怎么做， 我就只做自己该做的。故事写完，我就做别的事。,0.0,0.4835234582424164,0.5383431911468506,0.4388365149497986,26
"And soon after that,  I wrote a story about genetically engineered food.",不久之后， 我写了一个关于转基因食物的文章。,0.12340526446895762,0.39773091673851013,0.3269622027873993,0.5075967311859131,15
"Same thing, only bigger.",又是收到了大量的反对，声浪大于上一次。,0.9298395269585749,0.5505869388580322,0.6139212846755981,0.4990982115268707,6
People were going crazy.,人们简直是发疯了。,4.576506607182439,0.5481240153312683,0.5919254422187805,0.5103583335876465,5
"So I wrote a story about that too,  and I couldn't understand why  people thought this was ""Frankenfoods,""  why they thought moving molecules around  in a specific, rather than a haphazard way,  was trespassing on nature's ground.",于是我也就此写了一个文章， 我真的不能理解为何人们会把这理解为 “恶魔食物”， 我不理解，为何人们会认为按照特定的方式 而非任意的方式，来搬运生物分子 是在玩弄自然。,1.4755511905845428e-07,0.4729292392730713,0.5538658499717712,0.4126312732696533,51
"But, you know, I do what I do. I wrote the story, I moved on.",不过我还是只做我该做的。故事写完后，我就不管它了。,0.0,0.4991636276245117,0.5374796390533447,0.4659469723701477,20
"I mean, I'm a journalist.",我是个记者，,0.0,0.5347267985343933,0.5546427369117737,0.5161914825439453,8
"We type, we file, we go to dinner. It's fine.",我们的工作就是写文章，发表，吃饭，这就是我们的生活。,0.12383751369380655,0.4641016721725464,0.4161915183067322,0.5244771838188171,15
"But these stories bothered me,  and I couldn't figure out why, and eventually I did.",但是这些见闻还是让我心里感到不舒服， 我也不知道是什么原因，直到后来我才知道。,0.0,0.39311444759368896,0.3564402163028717,0.43820109963417053,20
And that's because those fanatics that were driving me crazy  weren't actually fanatics at all.,那些曾经把我逼疯的狂热分子 事实上并非狂热分子,0.12383751369380655,0.4132600724697113,0.362920343875885,0.479813814163208,19
"They were thoughtful people, educated people, decent people.",他们都是有想法的人，受过良好教育的人，正直的公民。,0.1472684523889216,0.43838053941726685,0.3711777925491333,0.5352975726127625,11
They were exactly like the people in this room.,他们就像这个房间里的人们。,0.0,0.5729577541351318,0.6057469844818115,0.5435359477996826,10
And it just disturbed me so much.,这确实让我十分头疼，,0.0,0.5136025547981262,0.5143210887908936,0.5128860473632812,8
"But then I thought, you know, let's be honest.",后来我想，说实话：,0.0,0.40421393513679504,0.3403104841709137,0.49766549468040466,13
We're at a point in this world  where we don't have the same relationship to progress that we used to.,我们今天的时代对于进步的关系 已经不同于往日了。,0.2918767892026305,0.5410085916519165,0.5846748352050781,0.5034114122390747,24
We talk about it ambivalently.,我们现在是以一种很疑惑的眼光来看待进步。,0.936015604744713,0.5746104121208191,0.6229923963546753,0.5332016348838806,6
"We talk about it in ironic terms with little quotes around it:  ""progress.""",我们会以讽刺的口吻来谈论进步 并且会加上引号：“进步”。,0.12471116048742699,0.4299100339412689,0.3970419764518738,0.4687110185623169,18
"Okay, there are reasons for that, and I think we know what those reasons are.",我想是有原因的，我们也知道是什么原因。,0.0,0.39887428283691406,0.344905823469162,0.47286486625671387,18
"We've lost faith in institutions,  in authority,  and sometimes in science itself,  and there's no reason we shouldn't have.",我们对于民间机构， 对政府， 有时甚至是对科学，已经失去了信任， 也许我们确实有不信任的理由。,0.12340526446895762,0.43566468358039856,0.38905593752861023,0.4949607849121094,29
You can just say a few names  and people will understand.,讲出几个名字你就知道 是什么原因了。,0.14624396065071252,0.41276443004608154,0.341409295797348,0.5218271613121033,13
"Chernobyl, Bhopal, the Challenger,  Vioxx, weapons of mass destruction,  hanging chads.","切尔诺贝利，博帕尔，挑战者号， 还有Vioxx抗关节炎药, 大规模杀伤性武器， 半打出的选票。",0.14460412558765207,0.46648502349853516,0.48072320222854614,0.45306602120399475,19
"You know, you can choose your list. There are questions and problems  with the people we used to believe were always right,  so be skeptical.",我想大家可以在自己心中把这样一个清单列出来。 我们过去完全信任的永远是对的， 现在都出问题了。 所以大家还是应当要有一点怀疑的态度。,0.0,0.4103917181491852,0.37890109419822693,0.4475911557674408,31
"Ask questions, demand proof, demand evidence.",要问几个问题，要索求证明和证据。,1.1836187458972367,0.5617138147354126,0.6185780763626099,0.5144240260124207,9
