en_test,zh_test,GOOGLE,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"And Peter likes to say that  none of the kids spend any time  trying to be CEO of Spaghetti, Inc. Right?",Peter喜欢这样说： “因为没有任何孩子企图做 意大利面条公司的总裁。” 是的,"彼得喜欢说，没有一个孩子花时间尝试成为 Spaghetti, Inc. 的首席执行官，对吗？",27.273,15.99,7.443,4.306,5.851,4.388,87.879,0.25,0.238,0.244,0,0,0,0.238,0.227,0.233,0.709,0.725,0.717
They don't spend time jockeying for power.,他们没在争夺权力上花任何时间,他们不会花时间争夺权力。,63.486,49.424,34.581,24.973,25.261,21.652,50,0.5,0.571,0.533,0.143,0.167,0.154,0.375,0.429,0.4,0.793,0.865,0.827
But there's another reason as well.,但是其中还有另一个原因,但还有另一个原因。,71.177,65.38,62.529,60.105,68.664,58.855,36.364,0.667,0.667,0.667,0.6,0.6,0.6,0.667,0.667,0.667,0.867,0.918,0.892
"And the reason is that business students are trained  to find the single right plan, right?",因为商学院的学生受过的专业训练是 去寻找一个正确的计划,原因是商科学生接受的培训是找到单一正确的计划，对吗？,57.692,33.968,24.342,18.819,17.239,14.776,69.231,0.417,0.333,0.37,0.154,0.125,0.138,0.429,0.353,0.387,0.812,0.796,0.804
And then they execute on it.,然后他们按照计划执行,然后他们就执行它。,59.656,51.664,40.865,31.762,26.984,23.129,50,0.6,0.5,0.545,0.25,0.2,0.222,0.6,0.5,0.545,0.783,0.824,0.803
"And then what happens is, when they put the marshmallow on the top,  they run out of time and what happens?",然而事实是， 当他们把棉花糖放到顶部时 他们用完了有限的时间，然后呢,然后发生的事情是，当他们把棉花糖放在上面时，他们没有时间了，会发生什么？,61.111,45.774,36.668,31.978,29.17,25.002,59.375,0.6,0.6,0.6,0.286,0.261,0.273,0.5,0.458,0.478,0.783,0.758,0.77
It's a crisis.,危机就降临了,这是一场危机。,28.571,21.822,16.824,13.135,7.54,6.463,100,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.731,0.709,0.72
Sound familiar? Right.,听着很熟悉吧？是的。,听起来有点熟？正确的。,45.455,21.32,13.618,9.425,9.242,7.922,70,0.444,0.5,0.471,0.125,0.143,0.133,0.444,0.5,0.471,0.756,0.753,0.754
"What kindergarteners do differently  is that they start with the marshmallow,  and they build prototypes, successive prototypes,  always keeping the marshmallow on top,  so they have multiple times to fix when they build prototypes along the way.",幼儿园的孩子的做法不一样 他们从棉花糖开始 他们先建一个样板模型， 然后不断在模型上加建， 其间总是让棉花糖保持在最上面 所以他们一直有很多机会去不断修正样板模型,幼儿园孩子们的不同之处在于，他们从棉花糖开始，然后构建原型，连续的原型，始终将棉花糖保持在顶部，因此他们在构建原型时可以多次修复。,49.36,35.174,27.098,21.577,22.767,19.515,63.158,0.364,0.444,0.4,0.171,0.2,0.184,0.364,0.41,0.386,0.767,0.795,0.781
Designers recognize this type of collaboration  as the essence of the iterative process.,于是设计者认识到这种合作是 这个互动过程中的重要因素,设计师将这种类型的协作视为迭代过程的本质。,31.488,19.759,9.47,5.588,8.849,7.585,76,0.214,0.273,0.24,0,0,0,0.214,0.25,0.231,0.74,0.753,0.746
"And with each version, kids get instant feedback  about what works and what doesn't work.",对每个版本，孩子都会迅速地得到反馈 他们知道什么行，什么不行,对于每个版本，孩子们都会立即获得有关哪些有效、哪些无效的反馈。,45.161,34.703,27.485,23.337,20.36,17.451,65.517,0.438,0.389,0.412,0.235,0.222,0.229,0.389,0.368,0.378,0.807,0.795,0.801
"So the capacity to play in prototype is really essential,  but let's look at how different teams perform.",所以把握雏形的能力是真正的关键 让我们来看看不同的队伍是怎样表现的,所以玩原型的能力确实很重要，但让我们看看不同团队的表现如何。,49.894,38.06,26.851,16.093,17.06,14.622,59.375,0.5,0.444,0.471,0.158,0.167,0.162,0.45,0.474,0.462,0.807,0.813,0.81
"So the average for most people is around 20 inches;  business schools students, about half of that;  lawyers, a little better, but not much better than that,  kindergarteners, better than most adults.",大多数人建的塔的平均高度是20英尺 商学院学生， 大概是一半 律师好一些， 但也好不到哪里去 幼儿园的孩子，比大多数的成年人要好,所以大多数人的平均高度是 20 英寸左右；商学院学生，大约占一半；律师，好一点，但也好不到哪里去，幼儿园的孩子，比大多数成年人好。,79.032,71.084,63.217,56.62,49.642,37.232,31.034,0.778,0.7,0.737,0.471,0.432,0.451,0.743,0.684,0.712,0.877,0.863,0.87
Who does the very best?,谁做得最好呢？,谁做得最好？,84.648,75.712,71.395,67.318,61.944,53.095,14.286,0.833,1,0.909,0.6,0.75,0.667,0.833,1,0.909,0.946,0.98,0.963
"Architects and engineers, thankfully.",建筑师和工程师，谢天谢地。,谢天谢地，建筑师和工程师。,100,86.603,78.149,69.893,57.828,49.567,15.385,1,1,1,0.4,0.4,0.4,0.667,0.667,0.667,0.944,0.94,0.942
Thirty-nine inches is the tallest structure I've seen.,我见过的最高的塔是39英寸,三十九英寸是我见过的最高的结构。,62.5,54.006,47.052,42.312,36.472,31.262,66.667,0.625,0.5,0.556,0.375,0.3,0.333,0.444,0.364,0.4,0.839,0.792,0.814
And why is it? Because they understand triangles  and self-reinforcing geometrical patterns  are the key to building  stable structures.,为什么呢？因为他们懂得三角形 和自我巩固的几何模式 是建筑 稳定结构的关键,这是为什么呢？因为他们了解三角形和自我强化的几何图案是构建稳定结构的关键。,72.973,65.244,59.132,53.025,45.049,38.613,32.353,0.778,0.7,0.737,0.556,0.5,0.526,0.789,0.714,0.75,0.914,0.892,0.903
"So CEOs, a little bit better than average,  but here's where it gets interesting.",总裁们比平均水平稍好一些 但是有趣的是,所以首席执行官们，比平均水平要好一点，但这就是有趣的地方。,44.828,35.788,28.732,22.872,17.909,15.351,88.889,0.545,0.353,0.429,0.2,0.118,0.148,0.545,0.333,0.414,0.85,0.746,0.795
"If you put you put an executive admin. on the team,  they get significantly better.",如果你在他们的小组里加一个行政助理 他们的成绩马上变得好很多,如果你放了，你就放了一个行政管理员。在团队中，他们的表现明显更好。,39.394,29.355,22.32,13.875,12.918,11.072,79.31,0.429,0.333,0.375,0.143,0.095,0.114,0.312,0.217,0.256,0.757,0.739,0.748
"It's incredible. You know, you look around, you go, ""Oh, that team's going to win.""",这真是令人难以置信， 你四处看看， 你说：“那个小组会赢。”,太不可思议了。你知道，你环顾四周，你会说，“哦，那支球队会赢。”,37.5,24.593,15.917,10.859,10.624,9.106,75,0.438,0.438,0.437,0.188,0.143,0.162,0.5,0.391,0.439,0.781,0.766,0.773
You can just tell beforehand. And why is that?,你很早就知道， 为什么呢？,你可以提前告诉一下。为什么是这样？,29.412,19.174,13.483,9.673,8.096,6.94,100,0.375,0.3,0.333,0,0,0,0.375,0.3,0.333,0.751,0.687,0.718
Because they have special skills  of facilitation.,因为他们有特殊的 简化技巧,因为他们有特殊的引导技能。,69.231,63.549,60.394,57.608,52.342,44.865,33.333,0.714,0.625,0.667,0.667,0.571,0.615,0.714,0.625,0.667,0.88,0.867,0.873
"They manage the process, they understand the process.",他们管理流程， 他们懂得流程,他们管理流程，他们理解流程。,78.571,73.753,68.207,64.5,59.188,50.732,23.077,0.8,0.667,0.727,0.667,0.571,0.615,0.857,0.75,0.8,0.947,0.94,0.944
And any team who manages  and pays close attention to work  will significantly improve the team's performance.,总之，任何一个小组积极管理并 专注于工作本身的话 小组的表现就有显著的提高,而任何一个管理好、狠抓工作的团队，都会显着提高团队的绩效。,39.253,26.152,16.03,10.654,13.493,11.565,74.286,0.368,0.412,0.389,0.05,0.056,0.053,0.286,0.316,0.3,0.726,0.763,0.744
Specialized skills and facilitation skills  are the combination that leads to strong success.,特殊技能以及善于使用简便的手法 两者的结合带来了成功,专业技能和引导技能的结合可以带来巨大的成功。,43.626,30.105,15.813,9.761,13.135,11.259,76,0.385,0.455,0.417,0.077,0.091,0.083,0.357,0.417,0.385,0.706,0.758,0.731
"If you have 10 teams that typically perform,  you'll get maybe six or so that have standing structures.",如果你有10个队参加这个活动 其中大概有6个队可以搭建可以直立的结构,如果您有 10 个通常表现出色的团队，那么您可能会得到大约 6 个具有常设结构的团队。,39.474,23.096,11.401,6.783,10.833,8.125,93.75,0.375,0.3,0.333,0.056,0.045,0.05,0.263,0.208,0.233,0.715,0.702,0.708
And I tried something interesting.,我做了一个有趣的尝试,我尝试了一些有趣的事情。,66.667,49.237,28.942,19.157,18.838,16.147,60,0.714,0.625,0.667,0.167,0.143,0.154,0.571,0.5,0.533,0.857,0.823,0.839
"I thought, let's up the ante, once.",我想， 我们不妨来赌一次,我想，让我们加大赌注一次吧。,57.143,41.931,24.47,16.065,16.041,13.749,63.636,0.625,0.5,0.556,0.286,0.222,0.25,0.625,0.5,0.556,0.838,0.783,0.81
"So I offered a 10,000 dollar prize of software to the winning team.",所以我就提供了价值10万美元的软件给得胜的小组,"所以我向获胜团队提供了 10,000 美元的软件奖励。",54.29,45.479,37.322,27.275,21.515,18.442,59.091,0.538,0.467,0.5,0.231,0.214,0.222,0.5,0.467,0.483,0.807,0.809,0.808
So what do you think happened to these design students?,你猜猜那些学设计的学生们会有什么样的反应？,那么你认为这些设计专业的学生发生了什么？,52.318,32.368,17.691,11.156,13.601,11.658,71.429,0.385,0.417,0.4,0.077,0.091,0.083,0.357,0.417,0.385,0.743,0.751,0.747
What was the result?,结果如何？,结果如何？,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1
Here's what happened:  Not one team had a standing structure.,这就是结果 没有一个小组完成了一个站立的建筑,事情是这样的：没有一个团队有固定的结构。,38.049,23.906,18.212,13.559,12.13,10.398,80.952,0.273,0.25,0.261,0.091,0.083,0.087,0.25,0.231,0.24,0.697,0.688,0.693
"If anyone had built, say, a one inch structure,  they would have taken home the prize.",哪怕任何一个小组完成一个一英寸的建筑 他们就可以把奖杯捧回去,如果有人建造了一个一英寸的结构，他们就会把奖品带回家。,44.711,35.742,28.735,22.908,20.776,17.808,65.517,0.4,0.375,0.387,0.2,0.2,0.2,0.375,0.375,0.375,0.771,0.783,0.777
"So, isn't that interesting? That high stakes  have a strong impact.",所以，很有意思的是 高额奖金会有很大的影响。,那么，这不是很有趣吗？高风险会产生巨大的影响。,47.826,32.969,24.948,19.851,16.684,14.3,66.667,0.462,0.4,0.429,0.154,0.143,0.148,0.429,0.4,0.414,0.783,0.759,0.771
We did the exercise again with the same students.,之后我们在同样的学生中又重复了这个活动,我们对同样的学生再次做了这个练习。,52.295,45.099,36.398,27.974,25.203,21.603,52.632,0.5,0.545,0.522,0.273,0.3,0.286,0.5,0.545,0.522,0.82,0.844,0.832
What do you think happened then?,你猜猜结果怎样？,你认为当时发生了什么？,18.182,9.535,6.321,4.457,3.03,2.597,112.5,0.4,0.286,0.333,0,0,0,0.4,0.286,0.333,0.695,0.667,0.681
So now they understand the value of prototyping.,这回他们知道了做样版模型的价值,所以现在他们了解了原型设计的价值。,41.176,27.786,17.266,11.644,11.099,9.513,80,0.444,0.4,0.421,0.125,0.111,0.118,0.444,0.4,0.421,0.82,0.806,0.813
So the same team went from being the very worst  to being among the very best.,所以最差的那个小组 成为了最好的小组,所以同一支球队从最差的球队变成了最好的球队。,45.455,36.037,26.907,17.894,15.715,13.47,82.353,0.625,0.455,0.526,0.333,0.25,0.286,0.6,0.429,0.5,0.816,0.774,0.795
They produced the tallest structures in the least amount of time.,他们用最少的时间完成了最高的建筑,他们在最短的时间内建造了最高的建筑。,66.667,56.011,46.111,37.42,31.159,26.708,37.5,0.667,0.5,0.571,0.444,0.333,0.381,0.7,0.538,0.609,0.887,0.869,0.878
So there's deep lessons for us  about the nature of incentives and success.,这些对我们都有很深的教育意义 揭示了奖励和成功的本质,因此，关于激励和成功的本质，我们有深刻的教训。,51.814,41.56,33.531,28.834,27.266,23.371,72,0.375,0.462,0.414,0.188,0.214,0.2,0.235,0.267,0.25,0.741,0.768,0.754
"So, you might ask: Why would anyone  actually spend time writing a marshmallow challenge?",所以，你也许会问：怎么会有人 花时间写这么一个棉花糖的挑战,所以，您可能会问：为什么有人会真正花时间写棉花糖挑战？,67.812,52.58,37.629,21.507,22.807,19.549,50,0.667,0.706,0.686,0.333,0.353,0.343,0.632,0.667,0.649,0.849,0.878,0.863
"And the reason is, I help create  digital tools and processes  to help teams build cars and video games  and visual effects.",原因是我可以用 电子工具和流程 来帮助人们造汽车，电子游戏 和模拟视觉效果,原因是，我帮助创建数字工具和流程来帮助团队构建汽车、视频游戏和视觉效果。,61.111,51.177,42.549,34.401,28.957,24.82,50,0.588,0.526,0.556,0.235,0.2,0.216,0.556,0.476,0.513,0.832,0.838,0.835
And what the marshmallow challenge does  is it helps them identify the hidden assumptions.,而棉花糖的挑战教会我们 识别隐藏着的一些假设,棉花糖挑战的作用是帮助他们识别隐藏的假设。,66.667,51.64,38.291,28.103,24.119,20.673,57.143,0.583,0.583,0.583,0.167,0.167,0.167,0.538,0.538,0.538,0.821,0.812,0.817
"Because, frankly,  every project has its own marshmallow, doesn't it?",因为， 坦白说 每个项目都有它们自己的棉花糖,因为，坦率地说，每个项目都有自己的棉花糖，不是吗？,68,60.69,54.305,47.511,37.752,32.359,50,0.833,0.667,0.741,0.636,0.438,0.519,0.833,0.588,0.69,0.904,0.84,0.871
"The challenge provides a shared experience,  a common language,  a common stance to build the right prototype.",这个挑战提供了可以分享的经验 一种共同的语言 处理问题的通用方法,该挑战提供了共同的经验、共同的语言、共同的立场来构建正确的原型。,43.75,37.567,32.053,25.961,20.046,17.182,76.667,0.467,0.467,0.467,0.312,0.294,0.303,0.529,0.429,0.474,0.724,0.734,0.729
of this so simple exercise.,就是这个简单的练习,这个如此简单的练习。,70,62.361,52.636,45.18,34.716,29.756,44.444,0.8,0.667,0.727,0.5,0.4,0.444,0.8,0.667,0.727,0.847,0.837,0.842
And those of you who are interested  may want to go to MarshmallowChallenge.com.,可以给我们提供的有价值的经验 你们如果有兴趣 可以去marshmallowchallenge.com网站,感兴趣的人可以访问 MarshmallowChallenge.com。,15.727,10.716,5.342,3.248,56.998,42.748,79.31,0.25,0.444,0.32,0.056,0.125,0.077,0.211,0.444,0.286,0.611,0.722,0.662
It's a blog that you can look at  how to build the marshmallows.,这是一个你可以阅读的博客 告诉你怎样搭建棉花糖建筑,这是一个博客，您可以了解如何构建棉花糖。,49.124,41.151,31.35,23.34,22.682,19.442,58.333,0.462,0.5,0.48,0.154,0.182,0.167,0.357,0.417,0.385,0.814,0.843,0.828
There's step-by-step instructions on this.,那里有具体的步骤说明,有关于此的分步说明。,50,23.57,15.143,10.553,10.185,8.73,80,0.5,0.429,0.462,0,0,0,0.5,0.429,0.462,0.707,0.698,0.703
There are crazy examples from around the world  of how people tweak and adjust the system.,还有来自世界各地的稀奇古怪的例子 人们怎样调整系统,世界各地有很多疯狂的例子来说明人们如何调整和调整系统。,55.556,43.853,33.755,23.794,19.751,16.929,70.833,0.6,0.429,0.5,0.2,0.143,0.167,0.545,0.4,0.462,0.779,0.775,0.777
There's world records that are on this as well.,那里有世界记录,这方面也有世界纪录。,40,29.814,22.314,16.784,12.454,10.675,85.714,0.25,0.2,0.222,0,0,0,0.25,0.2,0.222,0.773,0.724,0.748
"And the fundamental lesson, I believe,  is that design truly is  a contact sport.",而我相信， 最根本的教意是： 设计其实是 一种交流运动,我认为，最根本的教训是，设计确实是一项接触运动。,62.5,49.454,38.163,29.851,25.651,21.987,41.667,0.533,0.571,0.552,0.2,0.2,0.2,0.562,0.562,0.562,0.83,0.838,0.834
"It demands that we bring all of our senses to the task,  and that we apply the very best of our thinking,  our feeling and our doing  to the challenge that we have at hand.",它要求我们把我们所有的神志都放到任务中 要求我们运用最佳的思维状态 我们的感知我们的行动 来迎接我们面对的挑战,它要求我们把所有的感官都投入到这项任务中，并运用我们最好的思考、感受和行动来应对眼前的挑战。,55.334,42.834,30.822,20.578,22.197,19.026,55.769,0.619,0.481,0.542,0.25,0.241,0.246,0.516,0.533,0.525,0.832,0.813,0.823
"And sometimes, a little prototype of this experience  is all that it takes to turn us  from an ""uh-oh"" moment to a ""ta-da"" moment.",而有的时候， 一个小小的样板模型的经验 会帮助我们 将“糟了” 的那一刻变成了“”哈哈”的一刻,有时，这种体验的一个小原型就足以将我们从“呃-哦”​​时刻转变为“ta-da”时刻。,43.836,20.383,10.039,5.966,9.582,8.213,76.19,0.318,0.28,0.298,0,0,0,0.241,0.233,0.237,0.746,0.746,0.746
And that can make a big difference.,那造成的结果是大不同的,这会产生很大的影响。,18.097,9.538,6.36,4.515,3.333,2.857,90.909,0.143,0.167,0.154,0,0,0,0.125,0.167,0.143,0.669,0.69,0.679
Thank you very much.,谢谢你们,非常感谢。,20,15.811,12.772,10.682,5,4,125,0,0,0,0,0,0,0,0,0,0.727,0.718,0.723
Let's pretend right here we have a machine.,让我们设想这里有一台机器，,让我们假设我们这里有一台机器。,73.333,64.734,57.831,50.389,42.873,36.748,30.769,0.75,0.75,0.75,0.571,0.5,0.533,0.75,0.667,0.706,0.94,0.92,0.93
"A big machine, a cool, TED-ish machine,  and it's a time machine.",它是一个很大的，很酷的，很TED的机器， 它是一个时间机器。,一台大机器，一台很酷的、类似 TED 的机器，而且它是一台时间机器。,63.333,51.193,42.149,32.453,31.084,23.313,51.852,0.75,0.643,0.692,0.4,0.353,0.375,0.579,0.579,0.579,0.885,0.844,0.864
And everyone in this room has to get into it.,这里每个人都要走进这个时间机器。,这个房间里的每个人都必须参与其中。,52.941,36.38,26.035,18.842,16.403,14.06,68.75,0.556,0.455,0.5,0.25,0.2,0.222,0.444,0.364,0.4,0.753,0.747,0.75
"And you can go backwards, you can go forwards;  you cannot stay where you are.",你可以选择返回过去或走到未来， 就是不能停在当下。,你可以后退，也可以前进；你不能呆在原地。,32.749,20.576,12.441,8.252,10.224,8.764,70.833,0.375,0.5,0.429,0.067,0.077,0.071,0.375,0.429,0.4,0.708,0.766,0.736
"And I wonder what you'd choose, because I've been asking my friends  this question a lot lately and they all want to go back.",我在想你们会怎么选，近来我问了我的朋友很多次这个问题， 他们的回答都是“回到过去”。,我想知道你会选择什么，因为我最近经常问我的朋友这个问题，他们都想回去。,60.176,36.633,28.837,23.703,25.18,21.583,60.976,0.462,0.6,0.522,0.172,0.217,0.192,0.5,0.625,0.556,0.779,0.82,0.799
"I don't know. They want to go back before there were automobiles  or Twitter or ""American Idol.""",我不理解。他们说，要回到没有汽车、 没有twitter或《美国偶像》的年代。,我不知道。他们想回到汽车、推特或“美国偶像”出现之前。,51.099,39.055,27.608,16.582,19.007,16.292,51.613,0.5,0.588,0.541,0.19,0.235,0.211,0.5,0.611,0.55,0.766,0.783,0.774
I don't know.,我真的不理解。,我不知道。,40.219,18.357,12.347,9.424,12,10,57.143,0.6,0.75,0.667,0,0,0,0.6,0.75,0.667,0.752,0.813,0.781
"I'm convinced that there's some sort of pull  to nostalgia, to wishful thinking.",我敢肯定，这里必然是有一些怀旧的情愫 或者是痴心妄想。,我确信怀旧和一厢情愿的想法有某种吸引力。,33.337,11.401,6.443,4.132,8.377,7.18,84.615,0.357,0.455,0.4,0,0,0,0.267,0.364,0.308,0.68,0.709,0.694
And I understand that.,这我也能理解。,我明白这一点。,42.857,18.898,12.132,8.643,7.143,6.122,71.429,0.5,0.6,0.545,0,0,0,0.333,0.4,0.364,0.719,0.704,0.712
"I'm not part of that crowd, I have to say.",但是我必须承认，我跟他们不是一伙的。,我不得不说，我不是那群人中的一员。,44.371,22.868,11.801,7.253,9.926,8.508,77.778,0.455,0.5,0.476,0.091,0.1,0.095,0.5,0.545,0.522,0.726,0.729,0.727
"I don't want to go back, and it's not because I'm adventurous.",我不想回到过去，不是因为我喜欢冒险，,我不想回去，这并不是因为我喜欢冒险。,83.333,76.696,69.166,62.686,53.887,46.189,22.222,0.778,0.636,0.7,0.5,0.455,0.476,0.727,0.667,0.696,0.919,0.921,0.92
