en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"As Peter tells us,  not only do they produce the tallest structures,  but they're the most interesting structures of them all.",正如PETER告诉我们的 他们不但造出了最高的建筑 而且他们搭建的结构也是最有趣的,"正如彼得告诉我们,他们不仅生产了最高的结构,而且它们都是其中最有趣的结构。",62.162,50.893,38.974,26.884,22.585,19.359,45.714,0.667,0.6,0.632,0.286,0.286,0.286,0.545,0.522,0.533,0.836,0.825,0.83
So the question you want to ask is:  How come? Why? What is it about them?,所以你会问 这是怎么回事？他们到底有什么特点？,所以你想问的问题是:如何来?为什么?它是什么?,34.783,21.779,13.12,8.669,8.863,6.648,81.818,0.333,0.286,0.308,0.083,0.062,0.071,0.308,0.235,0.267,0.693,0.698,0.696
"And Peter likes to say that  none of the kids spend any time  trying to be CEO of Spaghetti, Inc. Right?",Peter喜欢这样说： “因为没有任何孩子企图做 意大利面条公司的总裁。” 是的,"和彼得喜欢说,没有一个孩子花任何时间试图成为Spaghetti, Inc的首席执行官。",39.375,22.191,9.266,5.077,7.985,5.989,81.818,0.35,0.368,0.359,0,0,0,0.286,0.3,0.293,0.704,0.739,0.721
They don't spend time jockeying for power.,他们没在争夺权力上花任何时间,他们不花时间争取权力。,55.367,35.56,17.488,10.621,17.121,14.675,57.143,0.375,0.5,0.429,0,0,0,0.25,0.333,0.286,0.779,0.861,0.818
But there's another reason as well.,但是其中还有另一个原因,但是还有另一个原因。,81.435,75.704,68.69,63.982,62.903,53.917,27.273,0.833,0.833,0.833,0.6,0.6,0.6,0.833,0.833,0.833,0.893,0.931,0.912
"And the reason is that business students are trained  to find the single right plan, right?",因为商学院的学生受过的专业训练是 去寻找一个正确的计划,"而原因是,商業學生被訓練找到單一正確的計劃,不是嗎?",30.769,7.845,4.002,2.429,5.128,3.846,96.154,0.167,0.133,0.148,0,0,0,0.143,0.125,0.133,0.765,0.731,0.748
And then they execute on it.,然后他们按照计划执行,"然後,他們將被執行。",30,12.91,8.046,5.522,5,4.286,90,0,0,0,0,0,0,0,0,0,0.757,0.779,0.767
"And then what happens is, when they put the marshmallow on the top,  they run out of time and what happens?",然而事实是， 当他们把棉花糖放到顶部时 他们用完了有限的时间，然后呢,"然后发生了什么事,当他们把火柴放在顶部时,他们会花时间,发生了什么事?",48.571,33.806,21.821,13.423,14.053,10.54,75,0.4,0.5,0.444,0.143,0.158,0.15,0.318,0.304,0.311,0.744,0.73,0.737
It's a crisis.,危机就降临了,这是一个危机。,28.571,21.822,16.824,13.135,7.54,6.463,100,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.728,0.699,0.713
Sound familiar? Right.,听着很熟悉吧？是的。,听起来很熟悉吗?,38.94,29.436,22.405,17.203,15.873,13.605,70,0.333,0.5,0.4,0.125,0.2,0.154,0.333,0.5,0.4,0.776,0.835,0.804
"What kindergarteners do differently  is that they start with the marshmallow,  and they build prototypes, successive prototypes,  always keeping the marshmallow on top,  so they have multiple times to fix when they build prototypes along the way.",幼儿园的孩子的做法不一样 他们从棉花糖开始 他们先建一个样板模型， 然后不断在模型上加建， 其间总是让棉花糖保持在最上面 所以他们一直有很多机会去不断修正样板模型,"幼儿园的不同的是,他们开始用火柴,他们建造原型,连续的原型,总是保持火柴在顶部,所以他们有几次修复,当他们建造原型在路上。",38.459,23.481,14.298,9.423,12.957,11.106,72.368,0.273,0.391,0.321,0.049,0.061,0.054,0.273,0.316,0.293,0.705,0.746,0.725
Designers recognize this type of collaboration  as the essence of the iterative process.,于是设计者认识到这种合作是 这个互动过程中的重要因素,设计师将这种类型的合作视为 iterative 过程的本质。,35.046,23.971,10.752,6.143,7.826,5.87,72,0.286,0.364,0.32,0,0,0,0.286,0.333,0.308,0.754,0.751,0.753
"And with each version, kids get instant feedback  about what works and what doesn't work.",对每个版本，孩子都会迅速地得到反馈 他们知道什么行，什么不行,"每個版本,孩子們都會得到關於什麼工作和什麼不工作的即時反馈。",43.333,24.448,10.22,5.607,9.521,8.161,75.862,0.312,0.278,0.294,0,0,0,0.278,0.263,0.27,0.783,0.78,0.782
"So the capacity to play in prototype is really essential,  but let's look at how different teams perform.",所以把握雏形的能力是真正的关键 让我们来看看不同的队伍是怎样表现的,"因此,在原型中发挥能力是非常重要的,但让我们看看不同的团队如何表现。",44.118,34.687,26.59,18.662,16.133,13.829,68.75,0.5,0.4,0.444,0.211,0.19,0.2,0.45,0.409,0.429,0.812,0.795,0.803
"So the average for most people is around 20 inches;  business schools students, about half of that;  lawyers, a little better, but not much better than that,  kindergarteners, better than most adults.",大多数人建的塔的平均高度是20英尺 商学院学生， 大概是一半 律师好一些， 但也好不到哪里去 幼儿园的孩子，比大多数的成年人要好,"因此,对于大多数人来说,平均值约为20英寸;商学院的学生,大约一半;律师,有点好,但不太好,幼儿园,比大多数成年人更好。",57.627,41.098,27.476,16.498,17.691,15.163,60.345,0.444,0.444,0.444,0.029,0.029,0.029,0.343,0.343,0.343,0.774,0.777,0.776
Who does the very best?,谁做得最好呢？,谁做得最好?,70.54,69.115,67.185,64.319,59.167,50.714,28.571,0.667,0.8,0.727,0.6,0.75,0.667,0.667,0.8,0.727,0.939,0.971,0.955
"Architects and engineers, thankfully.",建筑师和工程师，谢天谢地。,"建筑师和工程师,谢谢。",75.796,61.577,56.001,52.018,55.443,47.522,23.077,0.667,0.667,0.667,0.4,0.4,0.4,0.667,0.667,0.667,0.813,0.878,0.844
Thirty-nine inches is the tallest structure I've seen.,我见过的最高的塔是39英寸,三十九英寸是我见过的最高结构。,60,50.709,42.93,37.502,31.135,26.687,66.667,0.625,0.5,0.556,0.25,0.222,0.235,0.333,0.3,0.316,0.822,0.781,0.801
And why is it? Because they understand triangles  and self-reinforcing geometrical patterns  are the key to building  stable structures.,为什么呢？因为他们懂得三角形 和自我巩固的几何模式 是建筑 稳定结构的关键,因为他们理解三角形和自我增强的地质模式是建立稳定的结构的关键。,64.422,55.847,47.532,39.511,33.698,28.884,41.176,0.611,0.688,0.647,0.333,0.353,0.343,0.632,0.667,0.649,0.83,0.869,0.849
"So CEOs, a little bit better than average,  but here's where it gets interesting.",总裁们比平均水平稍好一些 但是有趣的是,"因此,首席执行官,比平均水平更好一点,但这就是它变得有趣的地方。",37.5,29.099,22.434,16.705,13.98,11.983,111.111,0.364,0.235,0.286,0.2,0.111,0.143,0.364,0.211,0.267,0.816,0.691,0.748
"If you put you put an executive admin. on the team,  they get significantly better.",如果你在他们的小组里加一个行政助理 他们的成绩马上变得好很多,"如果你把一个执行管理员放在团队上,他们会变得更好。",47.72,29.106,14.642,8.83,13.53,11.597,72.414,0.357,0.333,0.345,0.071,0.071,0.071,0.312,0.333,0.323,0.743,0.763,0.753
"It's incredible. You know, you look around, you go, ""Oh, that team's going to win.""",这真是令人难以置信， 你四处看看， 你说：“那个小组会赢。”,"你知道,你看着周围,你去,“哦,这个团队会赢。",31.485,15.176,9.592,6.491,8.831,7.569,78.571,0.25,0.308,0.276,0.062,0.062,0.062,0.278,0.278,0.278,0.681,0.725,0.702
You can just tell beforehand. And why is that?,你很早就知道， 为什么呢？,"你可以提前说,为什么呢?",41.667,33.71,28.326,22.417,16.675,12.506,58.333,0.375,0.375,0.375,0.143,0.143,0.143,0.375,0.375,0.375,0.782,0.784,0.783
Because they have special skills  of facilitation.,因为他们有特殊的 简化技巧,因为他们有特殊的便利技能。,69.231,63.549,60.394,57.608,52.342,44.865,33.333,0.714,0.625,0.667,0.667,0.571,0.615,0.714,0.625,0.667,0.881,0.869,0.875
"They manage the process, they understand the process.",他们管理流程， 他们懂得流程,"他们管理这个过程,他们理解这个过程。",44.444,32.338,23.557,17.182,14.523,12.449,76.923,0.4,0.286,0.333,0.167,0.125,0.143,0.429,0.3,0.353,0.852,0.788,0.819
And any team who manages  and pays close attention to work  will significantly improve the team's performance.,总之，任何一个小组积极管理并 专注于工作本身的话 小组的表现就有显著的提高,管理和关注工作的任何团队都会显著提高团队的表现。,39.521,27.579,12.978,7.574,16.247,13.926,71.429,0.368,0.538,0.437,0.05,0.071,0.059,0.238,0.333,0.278,0.729,0.796,0.761
Specialized skills and facilitation skills  are the combination that leads to strong success.,特殊技能以及善于使用简便的手法 两者的结合带来了成功,专业技能和便利技能是导致强大的成功的组合。,31.488,16.133,8.273,5.049,8.016,6.871,80,0.231,0.273,0.25,0,0,0,0.214,0.25,0.231,0.679,0.72,0.699
"If you have 10 teams that typically perform,  you'll get maybe six or so that have standing structures.",如果你有10个队参加这个活动 其中大概有6个队可以搭建可以直立的结构,"如果你有10支球队通常表现,你会得到可能有6个或那么有站立的结构。",43.75,35.639,29.397,22.641,20.514,17.584,65.625,0.438,0.35,0.389,0.278,0.227,0.25,0.421,0.348,0.381,0.707,0.689,0.698
And I tried something interesting.,我做了一个有趣的尝试,我尝试了一些有趣的东西。,66.667,49.237,28.942,19.157,18.838,16.147,60,0.714,0.625,0.667,0.167,0.143,0.154,0.571,0.5,0.533,0.858,0.829,0.843
"I thought, let's up the ante, once.",我想， 我们不妨来赌一次,"我想,让我们先前进一会儿。",38.462,25.318,14.283,9.238,9.188,7.875,81.818,0.375,0.333,0.353,0.143,0.125,0.133,0.375,0.333,0.353,0.754,0.717,0.735
"So I offered a 10,000 dollar prize of software to the winning team.",所以我就提供了价值10万美元的软件给得胜的小组,"因此,我向获奖团队提供了10万美元的软件奖金。",50,43.644,38.517,33.118,31.523,27.019,72.727,0.538,0.5,0.519,0.308,0.308,0.308,0.5,0.5,0.5,0.781,0.79,0.786
So what do you think happened to these design students?,你猜猜那些学设计的学生们会有什么样的反应？,"那么,你认为这些设计学生发生了什么呢?",42.636,25.29,11.919,6.986,10.673,9.148,76.19,0.231,0.25,0.24,0,0,0,0.214,0.25,0.231,0.716,0.736,0.726
What was the result?,结果如何？,结果是什么?,33.333,25.82,20.274,16.233,10.667,8.889,80,0.333,0.25,0.286,0,0,0,0.333,0.25,0.286,0.882,0.866,0.874
Here's what happened:  Not one team had a standing structure.,这就是结果 没有一个小组完成了一个站立的建筑,这就是发生的事情:没有一个团队有一个站立的结构。,54.167,46.039,38.666,30.145,23.309,19.979,66.667,0.545,0.462,0.5,0.364,0.286,0.32,0.583,0.467,0.519,0.796,0.766,0.781
"If anyone had built, say, a one inch structure,  they would have taken home the prize.",哪怕任何一个小组完成一个一英寸的建筑 他们就可以把奖杯捧回去,"如果有人建造,说一英寸的结构,他们会把奖项带回家。",34.086,24.599,16.49,11.48,12.346,10.582,75.862,0.267,0.286,0.276,0.067,0.071,0.069,0.25,0.267,0.258,0.724,0.73,0.727
"So, isn't that interesting? That high stakes  have a strong impact.",所以，很有意思的是 高额奖金会有很大的影响。,"那么,这不是那么有趣吗?这些高的赌注具有强大的影响。",38.462,24.807,19.74,16.082,13.367,11.458,85.714,0.231,0.2,0.214,0.154,0.125,0.138,0.286,0.235,0.258,0.736,0.697,0.716
We did the exercise again with the same students.,之后我们在同样的学生中又重复了这个活动,我们再次与同一个学生一起进行练习。,31.377,18.673,10.11,6.364,7.966,6.828,78.947,0.167,0.222,0.19,0,0,0,0.167,0.222,0.19,0.735,0.745,0.74
What do you think happened then?,你猜猜结果怎样？,你觉得那时发生了什么事?,8.333,6.155,4.558,3.386,1.389,1.19,137.5,0.2,0.125,0.154,0,0,0,0.2,0.125,0.154,0.701,0.668,0.684
So now they understand the value of prototyping.,这回他们知道了做样版模型的价值,"现在,他们明白了原型化的价值。",46.667,31.623,19.74,13.38,12.631,10.827,73.333,0.444,0.4,0.421,0.125,0.111,0.118,0.444,0.4,0.421,0.805,0.804,0.804
So the same team went from being the very worst  to being among the very best.,所以最差的那个小组 成为了最好的小组,"因此,同一支球队从最糟糕的到最优秀的。",21.053,7.647,4.414,2.863,3.509,3.008,105.882,0.125,0.083,0.1,0,0,0,0.2,0.143,0.167,0.707,0.704,0.706
They produced the tallest structures in the least amount of time.,他们用最少的时间完成了最高的建筑,他们在最短的时间内生产了最高的结构。,55.556,44.281,33.251,22.25,19.378,16.609,50,0.556,0.417,0.476,0.333,0.25,0.286,0.6,0.462,0.522,0.854,0.833,0.843
So there's deep lessons for us  about the nature of incentives and success.,这些对我们都有很深的教育意义 揭示了奖励和成功的本质,"因此,我们对激励和成功的性质有深刻的教训。",51.168,35.62,25.489,19.748,20.781,17.813,72,0.375,0.462,0.414,0.125,0.154,0.138,0.235,0.286,0.258,0.74,0.775,0.757
"So, you might ask: Why would anyone  actually spend time writing a marshmallow challenge?",所以，你也许会问：怎么会有人 花时间写这么一个棉花糖的挑战,"因此,你可能會問:為什麼有人真的會花時間寫一張馬斯馬洛挑戰?",23.333,8.97,5.238,3.396,4.464,3.348,89.286,0.111,0.118,0.114,0,0,0,0.105,0.118,0.111,0.8,0.791,0.796
"And the reason is, I help create  digital tools and processes  to help teams build cars and video games  and visual effects.",原因是我可以用 电子工具和流程 来帮助人们造汽车，电子游戏 和模拟视觉效果,"原因是,我帮助创建数字工具和过程,帮助团队构建汽车和视频游戏和视觉效果。",52.778,40.728,29.002,16.489,16.99,14.563,55.882,0.412,0.412,0.412,0.059,0.05,0.054,0.444,0.381,0.41,0.805,0.816,0.81
And what the marshmallow challenge does  is it helps them identify the hidden assumptions.,而棉花糖的挑战教会我们 识别隐藏着的一些假设,而马斯马洛的挑战就是它帮助他们识别隐藏的假设。,52.174,40.744,31.622,23.713,19.717,16.9,66.667,0.5,0.462,0.48,0.167,0.154,0.16,0.538,0.5,0.519,0.794,0.766,0.78
"Because, frankly,  every project has its own marshmallow, doesn't it?",因为， 坦白说 每个项目都有它们自己的棉花糖,"因为,坦率地说,每个项目都有自己的马歇尔,不是吗?",52,41.633,33.525,26.774,22.539,16.904,70,0.583,0.5,0.538,0.364,0.267,0.308,0.583,0.438,0.5,0.845,0.785,0.814
"The challenge provides a shared experience,  a common language,  a common stance to build the right prototype.",这个挑战提供了可以分享的经验 一种共同的语言 处理问题的通用方法,"这个挑战提供了一个共享的体验,一个共同的语言,一个共同的立场来构建正确的原型。",43.59,35.522,30.104,25.968,21.356,18.305,73.333,0.467,0.412,0.437,0.312,0.25,0.278,0.529,0.375,0.439,0.772,0.747,0.759
of this so simple exercise.,就是这个简单的练习,这个简单的练习。,77.218,76.426,75.452,74.209,79.702,68.316,33.333,0.8,0.8,0.8,0.75,0.75,0.75,0.8,0.8,0.8,0.844,0.894,0.868
And those of you who are interested  may want to go to MarshmallowChallenge.com.,可以给我们提供的有价值的经验 你们如果有兴趣 可以去marshmallowchallenge.com网站,你們有興趣的人可能想去MarshmallowChallenge.com。,20.973,7.675,4.466,2.923,53.134,45.544,79.31,0.312,0.417,0.357,0.056,0.091,0.069,0.263,0.417,0.323,0.65,0.75,0.697
It's a blog that you can look at  how to build the marshmallows.,这是一个你可以阅读的博客 告诉你怎样搭建棉花糖建筑,"这是一个博客,你可以看看如何建造火柴。",40.454,32.194,24.135,16.121,18.31,15.695,62.5,0.385,0.455,0.417,0.154,0.2,0.174,0.286,0.364,0.32,0.767,0.792,0.779
There's step-by-step instructions on this.,那里有具体的步骤说明,这里有一步一步的指示。,36.364,19.069,12.641,8.914,7.727,6.623,80,0.333,0.333,0.333,0,0,0,0.333,0.286,0.308,0.744,0.74,0.742
There are crazy examples from around the world  of how people tweak and adjust the system.,还有来自世界各地的稀奇古怪的例子 人们怎样调整系统,"有来自世界各地的疯狂例子,人们如何调整和调整系统。",64,56.569,48.103,41.741,35.017,30.015,54.167,0.7,0.538,0.609,0.3,0.231,0.261,0.636,0.5,0.56,0.836,0.841,0.838
There's world records that are on this as well.,那里有世界记录,"有世界纪录,这也是如此。",33.333,24.618,18.232,13.546,10.253,8.788,142.857,0.25,0.125,0.167,0,0,0,0.25,0.125,0.167,0.766,0.634,0.694
"And the fundamental lesson, I believe,  is that design truly is  a contact sport.",而我相信， 最根本的教意是： 设计其实是 一种交流运动,"我相信,基本的教训是,设计实际上是一种接触运动。",62.5,46.625,30.949,16.299,18.486,15.846,50,0.467,0.538,0.5,0.133,0.143,0.138,0.5,0.533,0.516,0.829,0.838,0.833
"It demands that we bring all of our senses to the task,  and that we apply the very best of our thinking,  our feeling and our doing  to the challenge that we have at hand.",它要求我们把我们所有的神志都放到任务中 要求我们运用最佳的思维状态 我们的感知我们的行动 来迎接我们面对的挑战,"它要求我们把所有的感官都带到任务上,并将我们思考、感受和做事的最好应用到我们面临的挑战中。",51.356,38.711,28.79,19.544,21.203,18.174,61.538,0.476,0.385,0.426,0.179,0.172,0.175,0.419,0.433,0.426,0.802,0.806,0.804
"And sometimes, a little prototype of this experience  is all that it takes to turn us  from an ""uh-oh"" moment to a ""ta-da"" moment.",而有的时候， 一个小小的样板模型的经验 会帮助我们 将“糟了” 的那一刻变成了“”哈哈”的一刻,"有时,这个体验的一小原型就是它需要把我们从一个“uh-oh”的时刻转向一个“ta-da”的时刻。",46.387,25.731,9.315,4.744,9.072,7.776,76.19,0.227,0.208,0.217,0.037,0.037,0.037,0.276,0.258,0.267,0.715,0.708,0.711
And that can make a big difference.,那造成的结果是大不同的,这可能会产生巨大的差异。,16.667,8.704,5.743,4.027,2.778,2.381,100,0.143,0.125,0.133,0,0,0,0.125,0.125,0.125,0.692,0.685,0.688
Thank you very much.,谢谢你们,非常感谢你。,33.333,25.82,20.274,16.233,13.333,10.667,100,0,0,0,0,0,0,0,0,0,0.844,0.759,0.799
Let's pretend right here we have a machine.,让我们设想这里有一台机器，,假设我们在这里有一个机器。,69.231,53.709,37.432,26.911,23.18,19.868,38.462,0.5,0.5,0.5,0.143,0.143,0.143,0.5,0.5,0.5,0.86,0.862,0.861
"A big machine, a cool, TED-ish machine,  and it's a time machine.",它是一个很大的，很酷的，很TED的机器， 它是一个时间机器。,"一个大机器,一个凉爽的,TED的机器,它是一个时间机器。",62.918,53.908,47.157,41.863,41.487,35.56,48.148,0.667,0.727,0.696,0.4,0.4,0.4,0.526,0.588,0.556,0.859,0.88,0.869
And everyone in this room has to get into it.,这里每个人都要走进这个时间机器。,这个房间里的人都必须进去。,48.857,25.426,13.263,8.249,13.034,11.172,75,0.444,0.444,0.444,0.125,0.125,0.125,0.333,0.333,0.333,0.721,0.749,0.734
"And you can go backwards, you can go forwards;  you cannot stay where you are.",你可以选择返回过去或走到未来， 就是不能停在当下。,"你可以向后走,你可以向前走;你不能留在你所在的地方。",30.769,19.215,11.544,7.605,7.823,6.705,83.333,0.25,0.333,0.286,0.067,0.071,0.069,0.25,0.25,0.25,0.702,0.738,0.72
"And I wonder what you'd choose, because I've been asking my friends  this question a lot lately and they all want to go back.",我在想你们会怎么选，近来我问了我的朋友很多次这个问题， 他们的回答都是“回到过去”。,"我想知道你会选择什么,因为我最近问我的朋友这个问题很多,他们都想回来。",60.176,34.538,23.009,15.914,18.888,16.19,60.976,0.423,0.55,0.478,0.103,0.13,0.115,0.433,0.542,0.481,0.768,0.806,0.787
"I don't know. They want to go back before there were automobiles  or Twitter or ""American Idol.""",我不理解。他们说，要回到没有汽车、 没有twitter或《美国偶像》的年代。,他们想回来之前有汽车或Twitter或“美国偶像”。,34.617,25.114,18.236,11.978,32.577,27.923,61.29,0.3,0.462,0.364,0.048,0.077,0.059,0.273,0.429,0.333,0.683,0.729,0.705
I don't know.,我真的不理解。,我不知道。,40.219,18.357,12.347,9.424,12,10,57.143,0.6,0.75,0.667,0,0,0,0.6,0.75,0.667,0.752,0.813,0.781
"I'm convinced that there's some sort of pull  to nostalgia, to wishful thinking.",我敢肯定，这里必然是有一些怀旧的情愫 或者是痴心妄想。,"我相信有某种吸引到诺斯塔利亚,到渴望的思维。",15.159,5.486,3.154,2.037,3.03,2.597,92.308,0.286,0.308,0.296,0,0,0,0.267,0.286,0.276,0.624,0.625,0.624
And I understand that.,这我也能理解。,我明白这一点。,42.857,18.898,12.132,8.643,7.143,6.122,71.429,0.5,0.6,0.545,0,0,0,0.333,0.4,0.364,0.719,0.704,0.712
"I'm not part of that crowd, I have to say.",但是我必须承认，我跟他们不是一伙的。,"我不是这个群体的一部分,我必须说。",49.917,29.706,17.702,11.691,13.06,11.194,77.778,0.455,0.5,0.476,0.091,0.1,0.095,0.333,0.364,0.348,0.698,0.697,0.698
"I don't want to go back, and it's not because I'm adventurous.",我不想回到过去，不是因为我喜欢冒险，,"我不想回来,不是因为我是冒险家。",60.672,53.438,44.814,36.795,31.535,27.03,44.444,0.444,0.444,0.444,0.3,0.333,0.316,0.455,0.5,0.476,0.86,0.878,0.869
"It's because possibilities on this planet,  they don't go back, they go forward.",而是因为这个地球上的可能性， 不是走到过去可以获得的，你要走到未来。,"这是因为这个星球上的可能性,他们不会回来,他们会前进。",41.52,33.924,29.55,25.614,25.482,21.841,63.636,0.278,0.357,0.312,0.1,0.143,0.118,0.227,0.312,0.263,0.724,0.77,0.746
